index, value
0, 2048
1, 787
2, 793
3, 792
4, 793
5, 793
6, 799
7, 772
8, 792
9, 793
10, 793
11, 784
12, 787
13, 793
14, 796
15, 786
16, 787
17, 793
18, 785
19, 787
20, 793
21, 793
22, 792
23, 793
24, 796
25, 792
26, 796
27, 799
28, 792
29, 793
30, 793
31, 790
32, 793
33, 799
34, 786
35, 801
36, 793
37, 787
38, 784
39, 796
40, 792
41, 793
42, 793
43, 796
44, 804
45, 793
46, 799
47, 793
48, 793
49, 792
50, 801
51, 793
52, 792
53, 793
54, 791
55, 791
56, 793
57, 792
58, 796
59, 793
60, 793
61, 793
62, 793
63, 790
64, 793
65, 800
66, 787
67, 791
68, 796
69, 793
70, 791
71, 793
72, 787
73, 793
74, 792
75, 800
76, 788
77, 793
78, 799
79, 787
80, 793
81, 793
82, 796
83, 796
84, 793
85, 791
86, 790
87, 793
88, 787
89, 793
90, 791
91, 793
92, 790
93, 793
94, 794
95, 793
96, 793
97, 793
98, 793
99, 796
100, 793
101, 793
102, 793
103, 793
104, 791
105, 793
106, 791
107, 793
108, 791
109, 793
110, 793
111, 793
112, 791
113, 787
114, 793
115, 787
116, 793
117, 793
118, 793
119, 793
120, 791
121, 793
122, 787
123, 793
124, 793
125, 793
126, 792
127, 793
128, 772
129, 787
130, 796
131, 787
132, 793
133, 793
134, 796
135, 793
136, 793
137, 791
138, 793
139, 787
140, 793
141, 791
142, 793
143, 793
144, 796
145, 793
146, 793
147, 791
148, 796
149, 791
150, 793
151, 787
152, 793
153, 787
154, 793
155, 793
156, 793
157, 787
158, 793
159, 791
160, 793
161, 793
162, 796
163, 793
164, 793
165, 793
166, 793
167, 791
168, 796
169, 791
170, 796
171, 791
172, 796
173, 793
174, 790
175, 793
176, 793
177, 796
178, 793
179, 793
180, 791
181, 796
182, 794
183, 800
184, 792
185, 793
186, 791
187, 791
188, 793
189, 793
190, 793
191, 793
192, 793
193, 793
194, 793
195, 793
196, 793
197, 793
198, 796
199, 793
200, 793
201, 793
202, 796
203, 793
204, 793
205, 790
206, 793
207, 793
208, 796
209, 787
210, 793
211, 790
212, 793
213, 791
214, 793
215, 791
216, 793
217, 793
218, 793
219, 787
220, 796
221, 793
222, 796
223, 793
224, 796
225, 793
226, 793
227, 793
228, 793
229, 787
230, 793
231, 793
232, 793
233, 791
234, 793
235, 793
236, 796
237, 791
238, 793
239, 791
240, 793
241, 793
242, 793
243, 791
244, 793
245, 798
246, 791
247, 793
248, 791
249, 796
250, 791
251, 793
252, 793
253, 796
254, 791
255, 793
256, 793
257, 796
258, 793
259, 793
260, 793
261, 793
262, 793
263, 793
264, 791
265, 793
266, 787
267, 793
268, 791
269, 793
270, 791
271, 793
272, 793
273, 796
274, 793
275, 796
276, 787
277, 793
278, 787
279, 793
280, 787
281, 796
282, 791
283, 793
284, 791
285, 793
286, 787
287, 793
288, 793
289, 793
290, 787
291, 793
292, 793
293, 793
294, 791
295, 793
296, 791
297, 793
298, 787
299, 793
300, 793
301, 796
302, 793
303, 796
304, 787
305, 796
306, 787
307, 793
308, 787
309, 793
310, 793
311, 793
312, 791
313, 793
314, 787
315, 787
316, 793
317, 791
318, 793
319, 791
320, 793
321, 791
322, 793
323, 793
324, 800
325, 787
326, 793
327, 793
328, 796
329, 791
330, 793
331, 793
332, 787
333, 796
334, 793
335, 793
336, 786
337, 784
338, 787
339, 793
340, 793
341, 793
342, 791
343, 793
344, 791
345, 793
346, 791
347, 793
348, 791
349, 793
350, 793
351, 784
352, 791
353, 796
354, 787
355, 796
356, 793
357, 786
358, 800
359, 787
360, 796
361, 793
362, 793
363, 792
364, 793
365, 793
366, 792
367, 793
368, 787
369, 787
370, 793
371, 793
372, 800
373, 787
374, 793
375, 787
376, 793
377, 787
378, 786
379, 793
380, 793
381, 796
382, 793
383, 796
384, 793
385, 796
386, 793
387, 793
388, 793
389, 793
390, 793
391, 799
392, 793
393, 793
394, 793
395, 800
396, 791
397, 793
398, 793
399, 793
400, 793
401, 791
402, 793
403, 793
404, 796
405, 793
406, 796
407, 791
408, 787
409, 796
410, 791
411, 791
412, 796
413, 787
414, 791
415, 787
416, 796
417, 791
418, 793
419, 787
420, 793
421, 786
422, 793
423, 791
424, 793
425, 791
426, 793
427, 793
428, 796
429, 793
430, 793
431, 793
432, 796
433, 787
434, 793
435, 787
436, 793
437, 791
438, 793
439, 791
440, 793
441, 791
442, 793
443, 791
444, 793
445, 787
446, 793
447, 793
448, 793
449, 793
450, 793
451, 787
452, 793
453, 793
454, 793
455, 793
456, 796
457, 787
458, 793
459, 791
460, 793
461, 793
462, 793
463, 787
464, 793
465, 787
466, 791
467, 793
468, 796
469, 793
470, 793
471, 787
472, 793
473, 786
474, 796
475, 791
476, 793
477, 787
478, 793
479, 793
480, 793
481, 793
482, 796
483, 793
484, 793
485, 791
486, 793
487, 791
488, 793
489, 791
490, 793
491, 793
492, 796
493, 787
494, 793
495, 787
496, 793
497, 787
498, 793
499, 787
500, 796
501, 791
502, 793
503, 791
504, 793
505, 793
506, 796
507, 793
508, 793
509, 791
510, 793
511, 793
512, 793
513, 793
514, 796
515, 793
516, 793
517, 787
518, 793
519, 791
520, 793
521, 793
522, 796
523, 787
524, 793
525, 793
526, 793
527, 791
528, 793
529, 787
530, 796
531, 787
532, 793
533, 791
534, 793
535, 791
536, 793
537, 787
538, 793
539, 793
540, 793
541, 791
542, 793
543, 793
544, 793
545, 793
546, 793
547, 791
548, 796
549, 793
550, 793
551, 793
552, 793
553, 787
554, 793
555, 787
556, 793
557, 793
558, 793
559, 791
560, 793
561, 787
562, 796
563, 791
564, 793
565, 791
566, 793
567, 791
568, 793
569, 793
570, 793
571, 787
572, 793
573, 791
574, 793
575, 793
576, 793
577, 793
578, 793
579, 793
580, 793
581, 793
582, 796
583, 793
584, 793
585, 793
586, 793
587, 787
588, 796
589, 791
590, 793
591, 791
592, 793
593, 790
594, 793
595, 793
596, 793
597, 787
598, 793
599, 793
600, 793
601, 791
602, 793
603, 793
604, 793
605, 793
606, 793
607, 793
608, 796
609, 793
610, 793
611, 793
612, 793
613, 793
614, 796
615, 791
616, 793
617, 790
618, 793
619, 791
620, 793
621, 791
622, 793
623, 791
624, 793
625, 793
626, 792
627, 800
628, 798
629, 792
630, 793
631, 796
632, 790
633, 793
634, 798
635, 793
636, 793
637, 791
638, 793
639, 793
640, 787
641, 793
642, 793
643, 788
644, 793
645, 791
646, 793
647, 793
648, 791
649, 794
650, 793
651, 796
652, 791
653, 793
654, 787
655, 793
656, 787
657, 780
658, 791
659, 793
660, 793
661, 787
662, 793
663, 791
664, 791
665, 793
666, 787
667, 784
668, 787
669, 793
670, 787
671, 793
672, 793
673, 793
674, 791
675, 787
676, 793
677, 787
678, 793
679, 787
680, 787
681, 777
682, 800
683, 793
684, 793
685, 793
686, 793
687, 796
688, 791
689, 791
690, 791
691, 793
692, 793
693, 791
694, 793
695, 787
696, 793
697, 787
698, 796
699, 791
700, 796
701, 791
702, 796
703, 787
704, 796
705, 791
706, 793
707, 796
708, 791
709, 796
710, 787
711, 787
712, 786
713, 793
714, 791
715, 793
716, 791
717, 800
718, 787
719, 793
720, 793
721, 787
722, 793
723, 793
724, 791
725, 793
726, 791
727, 793
728, 787
729, 793
730, 787
731, 786
732, 796
733, 787
734, 793
735, 787
736, 796
737, 791
738, 793
739, 787
740, 793
741, 791
742, 780
743, 787
744, 793
745, 787
746, 793
747, 787
748, 793
749, 793
750, 793
751, 787
752, 777
753, 787
754, 793
755, 791
756, 796
757, 793
758, 796
759, 787
760, 793
761, 787
762, 793
763, 791
764, 793
765, 791
766, 793
767, 793
768, 796
769, 793
770, 796
771, 787
772, 793
773, 793
774, 793
775, 793
776, 787
777, 796
778, 793
779, 793
780, 793
781, 793
782, 793
783, 793
784, 793
785, 793
786, 793
787, 800
788, 787
789, 793
790, 793
791, 793
792, 793
793, 793
794, 793
795, 793
796, 787
797, 793
798, 791
799, 793
800, 791
801, 793
802, 793
803, 793
804, 787
805, 796
806, 793
807, 786
808, 793
809, 787
810, 787
811, 793
812, 787
813, 787
814, 787
815, 793
816, 791
817, 786
818, 777
819, 787
820, 793
821, 787
822, 787
823, 786
824, 786
825, 787
826, 786
827, 787
828, 786
829, 791
830, 799
831, 791
832, 784
833, 787
834, 787
835, 793
836, 791
837, 793
838, 793
839, 793
840, 790
841, 786
842, 780
843, 787
844, 785
845, 793
846, 786
847, 787
848, 784
849, 787
850, 787
851, 787
852, 785
853, 785
854, 793
855, 787
856, 791
857, 787
858, 793
859, 787
860, 787
861, 777
862, 793
863, 793
864, 787
865, 786
866, 793
867, 787
868, 787
869, 787
870, 787
871, 796
872, 787
873, 793
874, 793
875, 791
876, 786
877, 786
878, 780
879, 787
880, 786
881, 793
882, 793
883, 793
884, 791
885, 800
886, 796
887, 787
888, 777
889, 791
890, 787
891, 791
892, 793
893, 798
894, 787
895, 787
896, 787
897, 786
898, 786
899, 787
900, 793
901, 787
902, 787
903, 777
904, 787
905, 796
906, 787
907, 787
908, 793
909, 785
910, 796
911, 787
912, 793
913, 787
914, 796
915, 787
916, 787
917, 787
918, 787
919, 793
920, 776
921, 793
922, 793
923, 787
924, 787
925, 793
926, 776
927, 787
928, 785
929, 793
930, 787
931, 796
932, 787
933, 786
934, 793
935, 787
936, 787
937, 787
938, 787
939, 786
940, 787
941, 786
942, 798
943, 787
944, 786
945, 793
946, 787
947, 786
948, 793
949, 787
950, 785
951, 787
952, 787
953, 791
954, 787
955, 787
956, 787
957, 793
958, 793
959, 793
960, 787
961, 777
962, 787
963, 793
964, 787
965, 786
966, 787
967, 787
968, 786
969, 800
970, 787
971, 787
972, 787
973, 786
974, 785
975, 786
976, 787
977, 787
978, 786
979, 796
980, 787
981, 777
982, 787
983, 787
984, 787
985, 801
986, 787
987, 787
988, 786
989, 786
990, 787
991, 786
992, 787
993, 787
994, 785
995, 796
996, 787
997, 793
998, 796
999, 791
1000, 787
1001, 796
1002, 787
1003, 791
1004, 787
1005, 777
1006, 786
1007, 796
1008, 790
1009, 786
1010, 796
1011, 787
1012, 793
1013, 787
