index, value
0, 2321
1, 2313
2, 2313
3, 2313
4, 2313
5, 2313
6, 2313
7, 2313
8, 2313
9, 2313
10, 2313
11, 2313
12, 2313
13, 2313
14, 2313
15, 2313
16, 2313
17, 2313
18, 2313
19, 2312
20, 2313
21, 2308
22, 2313
23, 2308
24, 2308
25, 2308
26, 2308
27, 2308
28, 2308
29, 2308
30, 2308
31, 2308
32, 2308
33, 2308
34, 2308
35, 2313
36, 2336
37, 2336
38, 2336
39, 2336
40, 2313
41, 2306
42, 2336
43, 2336
44, 2304
45, 2306
46, 2304
47, 2304
48, 2304
49, 2304
50, 2304
51, 2304
52, 2304
53, 2304
54, 2304
55, 2304
56, 2304
57, 2304
58, 2304
59, 2304
60, 2304
61, 2304
62, 2304
63, 2304
64, 2304
65, 2290
66, 2308
67, 2313
68, 2322
69, 2322
70, 2336
71, 2340
72, 2340
73, 2340
74, 2352
75, 2352
76, 2353
77, 2354
78, 2354
79, 2354
80, 2353
81, 2354
82, 2354
83, 2354
84, 2353
85, 2352
86, 2352
87, 2353
88, 2353
89, 2353
90, 2340
91, 2340
92, 2352
93, 2352
94, 2340
95, 2340
96, 2340
97, 2340
98, 2352
99, 2340
100, 2340
101, 2340
102, 2340
103, 2340
104, 2340
105, 2340
106, 2340
107, 2340
108, 2340
109, 2340
110, 2340
111, 2340
112, 2340
113, 2340
114, 2340
115, 2340
116, 2352
117, 2340
118, 2340
119, 2353
120, 2353
121, 2353
122, 2352
123, 2353
124, 2352
125, 2354
126, 2354
127, 2354
128, 2354
129, 2354
130, 2354
131, 2354
132, 2354
133, 2354
134, 2354
135, 2354
136, 2354
137, 2354
138, 2354
139, 2354
140, 2354
141, 2354
142, 2354
143, 2354
144, 2354
145, 2354
146, 2361
147, 2354
148, 2361
149, 2361
150, 2361
151, 2361
152, 2361
153, 2361
154, 2366
155, 2364
156, 2364
157, 2364
158, 2367
159, 2367
160, 2367
161, 2366
162, 2366
163, 2367
164, 2367
165, 2367
166, 2367
167, 2367
168, 2367
169, 2367
170, 2367
171, 2367
172, 2258
173, 2207
174, 2207
175, 2207
176, 2207
177, 2207
178, 2207
179, 2207
180, 2258
181, 2258
182, 2258
183, 2258
184, 2259
185, 2276
186, 2276
187, 2288
188, 2289
189, 2289
190, 2290
191, 2290
192, 2290
193, 2290
194, 2297
195, 2300
196, 2297
197, 2297
198, 2300
199, 2308
200, 2308
201, 2308
202, 2308
203, 2308
204, 2313
205, 2313
206, 2308
207, 2313
208, 2313
209, 2313
210, 2313
211, 2313
212, 2313
213, 2313
214, 2313
215, 2313
216, 2313
217, 2313
218, 2313
219, 2313
220, 2313
221, 2313
222, 2313
223, 2313
224, 2313
225, 2313
226, 2313
227, 2313
228, 2313
229, 2308
230, 2313
231, 2313
232, 2313
233, 2308
234, 2308
235, 2308
236, 2308
237, 2308
238, 2308
239, 2308
240, 2308
241, 2305
242, 2308
243, 2308
244, 2313
245, 2336
246, 2336
247, 2336
248, 2336
249, 2336
250, 2336
251, 2336
252, 2306
253, 2336
254, 2304
255, 2304
256, 2304
257, 2304
258, 2304
259, 2304
260, 2304
261, 2304
262, 2304
263, 2304
264, 2304
265, 2304
266, 2304
267, 2304
268, 2304
269, 2304
270, 2304
271, 2304
272, 2304
273, 2290
274, 2308
275, 2322
276, 2322
277, 2338
278, 2338
279, 2338
280, 2340
281, 2340
282, 2352
283, 2353
284, 2354
285, 2353
286, 2353
287, 2354
288, 2354
289, 2354
290, 2353
291, 2353
292, 2354
293, 2354
294, 2354
295, 2353
296, 2352
297, 2352
298, 2353
299, 2340
300, 2340
301, 2340
302, 2340
303, 2340
304, 2340
305, 2340
306, 2340
307, 2340
308, 2340
309, 2340
310, 2340
311, 2340
312, 2340
313, 2340
314, 2340
315, 2340
316, 2340
317, 2352
318, 2340
319, 2340
320, 2340
321, 2340
322, 2340
323, 2340
324, 2340
325, 2352
326, 2354
327, 2340
328, 2340
329, 2352
330, 2354
