index, value, filtered
0, -4, 0
1, -12, 0
2, -12, 0
3, -12, 0
4, -12, 0
5, -12, 0
6, -12, 0
7, -12, 0
8, -12, 0
9, -12, 0
10, -12, 0
11, -12, 0
12, -12, 0
13, -12, 0
14, -12, 0
15, -12, 0
16, -12, 0
17, -12, 0
18, -12, 0
19, -13, 0
20, -12, 0
21, -17, 0
22, -12, 0
23, -17, 0
24, -17, 0
25, -17, 0
26, -17, 0
27, -17, 0
28, -17, 0
29, -17, 0
30, -17, 0
31, -17, 0
32, -17, 0
33, -17, 0
34, -17, 0
35, -12, 0
36, 10, 0
37, 10, 0
38, 10, 0
39, 10, 0
40, -12, 0
41, -19, 0
42, 10, 0
43, 10, 0
44, -21, 0
45, -19, 0
46, -21, 0
47, -21, 0
48, -21, 0
49, -21, 0
50, -21, 0
51, -21, 0
52, -21, 0
53, -21, 0
54, -21, 0
55, -21, 0
56, -21, 0
57, -21, 0
58, -21, 0
59, -21, 0
60, -21, 0
61, -21, 0
62, -21, 0
63, -21, 0
64, -21, 0
65, -35, 0
66, -17, 0
67, -12, 0
68, -3, 0
69, -3, 0
70, 10, 0
71, 14, 0
72, 14, 0
73, 14, -1
74, 26, -1
75, 26, 0
76, 27, -1
77, 28, 0
78, 28, 0
79, 28, 0
80, 27, 0
81, 28, 0
82, 28, 1
83, 28, 1
84, 27, 2
85, 26, 3
86, 26, 3
87, 27, 4
88, 27, 5
89, 27, 1
90, 14, -5
91, 14, -5
92, 26, -4
93, 26, -3
94, 14, -3
95, 14, -2
96, 14, -1
97, 14, -1
98, 26, 0
99, 14, 0
100, 14, 0
101, 14, 0
102, 14, 1
103, 14, 1
104, 14, 2
105, 14, 2
106, 14, 2
107, 14, 3
108, 14, 2
109, 14, 4
110, 14, 0
111, 14, 4
112, 14, 0
113, 14, 0
114, 14, -1
115, 14, -1
116, 26, -2
117, 14, -2
118, 14, -3
119, 27, -4
120, 27, -5
121, 27, -6
122, 26, -7
123, 27, -8
124, 26, -4
125, 28, 16
126, 28, 15
127, 28, 15
128, 28, 15
129, 28, -6
130, 28, -13
131, 28, 15
132, 28, 16
133, 28, -13
134, 28, -9
135, 28, -10
136, 28, -8
137, 28, -6
138, 28, -4
139, 28, -2
140, 28, 0
141, 28, 0
142, 28, 2
143, 28, 3
144, 28, 5
145, 28, 5
146, 35, 6
147, 28, 5
148, 35, 5
149, 35, 4
150, 35, 2
151, 35, 0
152, 35, -1
153, 35, -4
154, 40, -21
155, 38, -6
156, 38, -5
157, 38, 0
158, 41, -3
159, 41, 5
160, 41, 5
161, 40, 2
162, 40, -1
163, 41, 7
164, 41, 5
165, 41, 3
166, 41, 2
167, 41, 1
168, 41, 0
169, 41, -1
170, 41, -1
171, 41, -1
172, -67, -1
173, -118, -4
174, -118, -3
175, -118, -2
176, -118, 0
177, -118, 2
178, -118, 3
