index, value, filtered
0, 43657145, 247852
1, 43657145, 785769
2, 43657145, 267774
3, 43657145, 175094
4, 43657145, -14085
5, 43657145, -124423
6, 43657145, -221226
7, 43657145, -285163
8, 43657145, -325504
9, 43657145, -341059
10, 43657145, -334047
11, 43657145, -305722
12, 43657145, -258033
13, 43657145, -193416
14, 43657145, -114763
15, 43657145, -25884
16, 43657145, 68888
17, 43657145, 164681
18, 43657145, 256409
19, 43657145, 338427
20, 43657145, 405776
21, 43657145, 453760
22, 43657145, 478447
23, 43657145, 476874
24, 43657145, 447433
25, 43657145, 390036
26, 43657145, 306383
27, 43657145, 199527
28, 43657145, 74328
29, 43657145, -63037
30, 43657145, -205206
31, 43657145, -343934
32, 43657145, -470701
33, 43657145, -577162
34, 43657145, -655428
35, 43657145, -698933
36, 43657145, -702531
37, 43657145, -663307
38, 43657145, -580509
39, 43657145, -456073
40, 43657145, -294391
41, 43657145, -102618
42, 43657145, 110111
43, 43657145, 332406
44, 43657145, 551940
45, 43657145, 755103
46, 43657145, 928895
47, 43657145, 1060452
48, 43657145, 1139158
49, 43657145, 1156057
50, 43657145, 1105703
51, 43657145, 985741
52, 43657145, 798168
53, 43657145, 548692
54, 43657145, 247421
55, 43657145, -92016
56, 43657145, -452520
57, 43657145, -814209
58, 43657145, -1155995
59, 43657145, -1455358
60, 43657145, -1691415
61, 43657145, -1843844
62, 43657145, -1896416
63, 43657145, -1836314
64, 43657145, -1656507
65, 43657145, -1355922
66, 43657145, -940001
67, 43657145, -421845
68, 43657145, 178931
69, 43657145, 835453
70, 43657145, 1514809
71, 43657145, 2179066
72, 43657145, 2785722
73, 43657145, 3290548
74, 43657145, 3648174
75, 43657145, 3814214
76, 43657145, 3747748
77, 43657145, 3411413
78, 43657145, 2775111
79, 43657145, 1816986
80, 43657145, 523573
81, 43657145, -1108578
82, 43657145, -3072859
83, 43657145, -5351465
84, 43657145, -7915819
85, 43657145, -10728978
86, 43657145, -13745263
87, 43657145, -16911040
88, 43657145, -20169024
89, 43657145, 20198701
90, 43657145, 16940717
91, 43657145, 13774940
92, 43657145, 10758655
93, 43657145, 7945496
94, 43657145, 5381143
95, 43657145, 3102536
96, 43657145, 1138255
97, 43657145, -493896
98, 43657145, -1787309
99, 43657145, -2745433
100, 43657145, -3381736
101, 43657145, -3718071
102, 43657145, -3784537
103, 43657145, -3618496
104, 43657145, -3260871
105, 43657145, -2756045
106, 43657145, -2149388
107, 43657145, -1485132
108, 43657145, -805776
109, 43657145, -149254
110, 43657145, 451522
111, 43657145, 969678
112, 43657145, 1385599
113, 43657145, 1686184
114, 43657145, 1865991
115, 43657145, 1926093
116, 43657145, 1873521
117, 43657145, 1721093
118, 43657145, 1485035
119, 43657145, 1185672
120, 43657145, 843886
121, 43657145, 482197
122, 43657145, 121693
123, 43657145, -217744
124, 43657145, -519015
125, 43657145, -768491
126, 43657145, -956064
127, 43657145, -1076026
128, 43657145, -1126380
129, 43657145, -1109481
130, 43657145, -1030774
131, 43657145, -899218
132, 43657145, -725426
133, 43657145, -522262
134, 43657145, -302729
135, 43657145, -80434
136, 43657145, 132296
