voltages, filtered
-0.073012, -0.000415
-0.073012, -0.001314
0.030138, 0.000138
0.080907, 0.001852
0.093801, 0.001643
0.106695, 0.001238
0.132482, 0.000998
0.184057, 0.001054
0.184057, 0.001011
0.184057, 0.000018
0.184057, -0.000446
0.184057, -0.000913
0.132482, -0.001505
0.081713, -0.002631
0.081713, -0.002732
0.106695, -0.001865
0.081713, -0.001257
0.081713, -0.001312
0.106695, -0.000406
0.132482, 0.000525
0.132482, 0.001106
0.132482, 0.001241
0.132482, 0.001537
0.080907, 0.001455
0.055925, 0.000857
0.055925, 0.001260
0.080907, 0.001818
0.080907, 0.002308
0.055925, 0.001904
0.081713, 0.001555
0.093801, 0.001847
0.106695, 0.001339
0.132482, 0.000980
0.081713, 0.000152
0.080907, -0.001531
0.080907, -0.001744
0.030138, -0.002693
0.055925, -0.003579
0.080907, -0.002862
0.080907, -0.002923
0.030138, -0.003342
0.030138, -0.003808
0.080907, -0.002585
0.081713, -0.001311
0.106695, -0.000836
0.132482, 0.000477
0.184057, 0.001627
0.184057, 0.002838
0.132482, 0.002683
0.106695, 0.002469
0.106695, 0.003141
0.106695, 0.003871
0.132482, 0.004426
0.106695, 0.004766
0.132482, 0.004156
0.132482, 0.004297
0.106695, 0.003070
0.080907, 0.001618
0.055925, 0.000159
0.055925, -0.001197
0.055925, -0.002233
0.080907, -0.003351
0.080907, -0.004216
0.080907, -0.005577
0.080907, -0.006472
0.080907, -0.007126
0.080907, -0.007367
0.055925, -0.007325
0.030138, -0.007125
0.080907, -0.005733
0.080907, -0.003170
0.080907, -0.001625
0.080907, 0.000763
0.030138, 0.002933
0.030138, 0.004947
0.055925, 0.008296
0.080907, 0.011296
0.106695, 0.013755
0.132482, 0.015585
0.132482, 0.016463
0.132482, 0.016102
0.132482, 0.015007
0.106695, 0.012690
0.106695, 0.009120
0.132482, 0.005154
0.132482, -0.000058
0.081713, -0.007265
0.080907, -0.015683
0.030138, -0.024200
0.030138, -0.107338
0.030138, -0.116785
0.030138, -0.024111
0.080907, 0.016341
0.080907, 0.019132
0.055925, 0.020758
0.080907, 0.036167
0.080907, 0.078677
0.080907, 0.069718
0.055925, 0.061985
0.080907, 0.055373
0.080907, 0.050925
0.055925, -0.004659
0.055925, -0.057821
0.080907, -0.058087
0.080907, -0.031970
0.055925, -0.055153
-0.021437, -0.052510
-0.021437, -0.023760
0.030138, 0.008668
0.030138, 0.015675
0.030138, 0.022077
0.030138, 0.029127
0.030138, -0.015486
0.055925, -0.033488
0.055925, -0.026741
0.055925, 0.003792
0.055925, 0.008845
0.080907, -0.011889
0.055925, 0.017217
0.055925, 0.030782
0.080907, 0.045041
0.055925, 0.070808
-0.021437, 0.017835
-0.021437, 0.014107
-0.021437, 0.011849
0.030138, -0.042336
-0.021437, -0.020427
-0.073012, -0.001820
-0.099606, -0.007272
-0.073012, -0.063069
-0.021437, -0.067260
0.030138, -0.020713
-0.021437, -0.024712
-0.021437, -0.005233
-0.073012, 0.017053
-0.072207, 0.064991
-0.021437, 0.063944
-0.073012, 0.011680
-0.073012, -0.015288
-0.073012, -0.013898
-0.073012, -0.012236
-0.092353, 0.016108
-0.112500, -0.006717
-0.124588, 0.022939
-0.124588, 0.027508
-0.112500, 0.006852
-0.176163, -0.013991
-0.099606, -0.034277
-0.073012, -0.027411
-0.021437, -0.022860
-0.073012, 0.006558
-0.021437, 0.009127
0.030138, 0.013492
0.055925, 0.015773
0.055925, 0.016928
0.030138, 0.016827
0.030138, -0.008969
-0.021437, -0.035972
0.030138, 0.012664
0.030138, 0.011610
