raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
-1731.292480, -9.828997, 0.000000, 717.809540, 0.000000, 992.727273
-1731.292480, -31.160935, 244.140625, 734.228166, 21164.142302, 992.727273
-1731.292480, -10.619016, 488.281250, 722.893698, 32527.994442, 992.727273
-1731.292480, -6.943649, 732.421875, 727.525740, 29102.821823, 992.727273
-1731.292480, 0.558583, 976.562500, 748.342065, 6553.397726, 992.727273
-1731.292480, 4.934208, 1220.703125, 753.914355, 20500.829547, 992.727273
-1731.292480, 8.773084, 1464.843750, 749.714969, 37397.439959, 992.727273
-1731.292480, 11.308597, 1708.984375, 741.325523, 41236.174083, 992.727273
-1731.292480, 12.908400, 1953.125000, 750.238769, 10810.100148, 992.727273
-1731.292480, 13.525264, 2197.265625, 731.200081, 16196.788000, 992.727273
-1731.292480, 13.247174, 2441.406250, 757.445857, 39730.349466, 992.727273
-1731.292480, 12.123898, 2685.546875, 740.713477, 55717.824437, 992.727273
-1731.292480, 10.232736, 2929.687500, 723.682744, 37261.518130, 992.727273
-1731.292480, 7.670237, 3173.828125, 761.714884, 25573.492660, 992.727273
-1731.292480, 4.551143, 3417.968750, 776.430124, 65458.668468, 992.727273
-1731.292480, 1.026480, 3662.109375, 810.746109, 99745.083747, 992.727273
-1731.292480, -2.731900, 3906.250000, 810.756047, 109814.999450, 992.727273
-1731.292480, -6.530719, 4150.390625, 851.439793, 30185.453635, 992.727273
-1731.292480, -10.168310, 4394.531250, 742.142440, 317472.519398, 992.727273
-1731.292480, -13.420883, 4638.671875, 1134.850519, 2476009.992240, 992.727273
-1731.292480, -16.091686, 4882.812500, 783.332610, 293569.497771, 992.727273
-1731.292480, -17.994564, 5126.953125, 873.713590, 56403.627424, 992.727273
-1731.292480, -18.973571, 5371.093750, 843.000808, 74971.946939, 992.727273
-1731.292480, -18.911220, 5615.234375, 856.965265, 88685.710810, 992.727273
-1731.292480, -17.743673, 5859.375000, 826.341749, 65058.786366, 992.727273
-1731.292480, -15.467493, 6103.515625, 834.014765, 39927.025579, 992.727273
-1731.292480, -12.150113, 6347.656250, 843.735751, 21857.789108, 992.727273
-1731.292480, -7.912584, 6591.796875, 877.268834, 48611.268220, 992.727273
-1731.292480, -2.947618, 6835.937500, 865.389920, 42647.089934, 992.727273
-1731.292480, 2.499848, 7080.078125, 874.760581, 27458.538693, 992.727273
-1731.292480, 8.137788, 7324.218750, 902.409019, 19116.179690, 992.727273
-1731.292480, 13.639270, 7568.359375, 920.270922, 34788.817192, 992.727273
-1731.292480, 18.666387, 7812.500000, 948.201101, 37957.969525, 992.727273
-1731.292480, 22.888276, 8056.640625, 951.850005, 30421.012428, 992.727273
-1731.292480, 25.992059, 8300.781250, 957.349983, 35611.383108, 992.727273
-1731.292480, 27.717287, 8544.921875, 982.948290, 50038.701559, 992.727273
-1731.292480, 27.859977, 8789.062500, 1009.318214, 44751.773550, 992.727273
-1731.292480, 26.304486, 9033.203125, 1085.289714, 124952.228505, 992.727273
-1731.292480, 23.021033, 9277.343750, 1112.416644, 450104.759397, 992.727273
-1731.292480, 18.086312, 9521.484375, 1131.125937, 108218.797873, 992.727273
-1731.292480, 11.674573, 9765.625000, 1083.439015, 28073.991929, 992.727273
-1731.292480, 4.069516, 10009.765625, 1138.332306, 32931.394371, 992.727273
-1731.292480, -4.366662, 10253.906250, 1156.761791, 37614.474254, 992.727273
-1731.292480, -13.182112, 10498.046875, 1188.858585, 28452.500227, 992.727273
-1731.292480, -21.888048, 10742.187500, 1206.773911, 34237.825784, 992.727273
-1731.292480, -29.944809, 10986.328125, 1269.682178, 39111.603351, 992.727273
-1731.292480, -36.836797, 11230.468750, 1279.426284, 25370.702830, 992.727273
-1731.292480, -42.053888, 11474.609375, 1323.166238, 19320.188766, 992.727273
-1731.292480, -45.175129, 11718.750000, 1372.527119, 27193.660066, 992.727273
-1731.292480, -45.845282, 11962.890625, 1387.925009, 46605.821991, 992.727273
-1731.292480, -43.848411, 12207.031250, 1456.462642, 47811.072638, 992.727273
-1731.292480, -39.091122, 12451.171875, 1504.847431, 14728.523322, 992.727273
