Values, Voltage
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3822.000000, 1.510087
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
259.000000, -1.361195
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3072.000000, 0.905691
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
941.000000, -0.811598
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
2560.000000, 0.493090
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
1453.000000, -0.398997
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
2560.000000, 0.493090
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
1728.000000, -0.177386
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
1728.000000, -0.177386
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3072.000000, 0.905691
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3779.000000, 1.475435
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
8.000000, -1.563466
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3839.000000, 1.523786
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3822.000000, 1.510087
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
174.000000, -1.429693
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3776.000000, 1.473017
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
237.000000, -1.378924
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3072.000000, 0.905691
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
1087.000000, -0.693943
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
1898.000000, -0.040389
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
2560.000000, 0.493090
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
967.000000, -0.790646
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3328.000000, 1.111992
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3839.000000, 1.523786
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3776.000000, 1.473017
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
479.000000, -1.183906
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
2752.000000, 0.647816
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
1728.000000, -0.177386
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
1967.000000, 0.015215
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
2560.000000, 0.493090
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
320.000000, -1.312038
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3776.000000, 1.473017
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3823.000000, 1.510893
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
175.000000, -1.428888
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3328.000000, 1.111992
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
942.000000, -0.810792
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
2159.000000, 0.169940
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
2285.000000, 0.271479
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
12.000000, -1.560243
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3712.000000, 1.421442
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3783.000000, 1.478658
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3783.000000, 1.478658
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
507.000000, -1.161342
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
2730.000000, 0.630087
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
1856.000000, -0.074236
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
566.000000, -1.113796
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3437.000000, 1.199830
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
20.000000, -1.553796
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
3501.000000, 1.251405
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
3949.000000, 1.612431
783.000000, -0.938924
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
0.000000, -1.569913
2560.000000, 0.493090
3949.000000, 1.612431
