Values, Voltage, Values_filtered, Voltages_filtered
1902.000000, 1.532747, 0.263574, 0.000212
1901.000000, 1.531941, 0.829932, 0.000669
1903.000000, 1.533553, 0.278115, 0.000224
1901.000000, 1.531941, 0.204710, 0.000165
1901.000000, 1.531941, -0.042720, -0.000034
1901.000000, 1.531941, -0.136238, -0.000110
1898.000000, 1.529524, -0.258107, -0.000208
1856.000000, 1.495678, -0.595679, -0.000480
1773.000000, 1.428791, -1.589610, -0.001281
1898.000000, 1.529524, -1.412039, -0.001138
1901.000000, 1.531941, 1.241025, 0.001000
1792.000000, 1.444103, -0.427088, -0.000344
1728.000000, 1.392527, -1.910857, -0.001540
1792.000000, 1.444103, -1.214928, -0.000979
1856.000000, 1.495678, 0.930196, 0.000750
1856.000000, 1.495678, 1.537772, 0.001239
1856.000000, 1.495678, 1.196211, 0.000964
1856.000000, 1.495678, 1.187603, 0.000957
1856.000000, 1.495678, 1.054514, 0.000850
1856.000000, 1.495678, 0.945309, 0.000762
1735.000000, 1.398168, 0.113601, 0.000092
1901.000000, 1.531941, -0.599530, -0.000483
1901.000000, 1.531941, 2.689774, 0.002168
1896.000000, 1.527912, 0.735325, 0.000593
1856.000000, 1.495678, 0.388024, 0.000313
1728.000000, 1.392527, -1.425484, -0.001149
1856.000000, 1.495678, -2.180590, -0.001757
1856.000000, 1.495678, 0.606300, 0.000489
1856.000000, 1.495678, -0.785191, -0.000633
1735.000000, 1.398168, -1.348196, -0.001086
1856.000000, 1.495678, -2.476008, -0.001995
1856.000000, 1.495678, 0.373154, 0.000301
1856.000000, 1.495678, -0.869280, -0.000701
1856.000000, 1.495678, -0.565944, -0.000456
1856.000000, 1.495678, -0.678458, -0.000547
1856.000000, 1.495678, -0.532443, -0.000429
1856.000000, 1.495678, -0.374776, -0.000302
1896.000000, 1.527912, 0.089365, 0.000072
1896.000000, 1.527912, 0.853300, 0.000688
1898.000000, 1.529524, 0.686892, 0.000554
1896.000000, 1.527912, 0.913738, 0.000736
1898.000000, 1.529524, 0.983738, 0.000793
1896.000000, 1.527912, 1.156871, 0.000932
1856.000000, 1.495678, 0.971726, 0.000783
1856.000000, 1.495678, 0.554581, 0.000447
1856.000000, 1.495678, 1.013105, 0.000816
1856.000000, 1.495678, 1.019313, 0.000821
1856.000000, 1.495678, 1.034828, 0.000834
1856.000000, 1.495678, 0.906315, 0.000730
1896.000000, 1.527912, 0.925034, 0.000745
1898.000000, 1.529524, 1.136005, 0.000915
1856.000000, 1.495678, 0.094285, 0.000076
1856.000000, 1.495678, -0.924815, -0.000745
1856.000000, 1.495678, -1.011552, -0.000815
1856.000000, 1.495678, -1.429739, -0.001152
1856.000000, 1.495678, -1.702103, -0.001372
1856.000000, 1.495678, -1.958515, -0.001578
1735.000000, 1.398168, -2.805822, -0.002261
1856.000000, 1.495678, -3.673571, -0.002960
1792.000000, 1.444103, -1.054735, -0.000850
1856.000000, 1.495678, -2.478507, -0.001997
1856.000000, 1.495678, -0.353355, -0.000285
1896.000000, 1.527912, -0.535454, -0.000432
1901.000000, 1.531941, 0.633871, 0.000511
1901.000000, 1.531941, 0.647798, 0.000522
1901.000000, 1.531941, 1.114793, 0.000898
1898.000000, 1.529524, 1.523302, 0.001228
1898.000000, 1.529524, 1.984119, 0.001599
1856.000000, 1.495678, 2.252791, 0.001815
1735.000000, 1.398168, 1.472549, 0.001187
1856.000000, 1.495678, 1.497781, 0.001207
1896.000000, 1.527912, 4.926313, 0.003970
1856.000000, 1.495678, 4.207593, 0.003391
1856.000000, 1.495678, 3.420918, 0.002757
1856.000000, 1.495678, 3.269211, 0.002635
1856.000000, 1.495678, 2.552053, 0.002057
1856.000000, 1.495678, 1.682524, 0.001356
1856.000000, 1.495678, 0.519705, 0.000419
1856.000000, 1.495678, -0.863659, -0.000696
1856.000000, 1.495678, -2.461915, -0.001984
1856.000000, 1.495678, -4.224094, -0.003404
1856.000000, 1.495678, -6.113178, -0.004926
1856.000000, 1.495678, -8.069036, -0.006503
1856.000000, 1.495678, -10.033340, -0.008085
1856.000000, 1.495678, -11.937879, -0.009620
1856.000000, 1.495678, -13.712204, -0.011050
1856.000000, 1.495678, -15.294552, -0.012325
1856.000000, 1.495678, -16.612969, -0.013388
1856.000000, 1.495678, -17.608714, -0.014190
1773.000000, 1.428791, 27.734005, 0.022350
1856.000000, 1.495678, 25.994354, 0.020948
1856.000000, 1.495678, 30.270665, 0.024394
1856.000000, 1.495678, 28.212072, 0.022735
1856.000000, 1.495678, 29.636664, 0.023883
1856.000000, 1.495678, 31.212706, 0.025153
1896.000000, 1.527912, 30.594806, 0.024655
1901.000000, 1.531941, -8.342652, -0.006723
1901.000000, 1.531941, -88.824083, -0.071580
1901.000000, 1.531941, 39.261225, 0.031639
1901.000000, 1.531941, 45.534064, 0.036694
1901.000000, 1.531941, -59.988533, -0.048342
1898.000000, 1.529524, -120.461144, -0.097075
1856.000000, 1.495678, -53.206862, -0.042877
1735.000000, 1.398168, 13.028941, 0.010500
1856.000000, 1.495678, 15.909952, 0.012821
1856.000000, 1.495678, 21.801724, 0.017569
1735.000000, 1.398168, 22.594227, 0.018208
1901.000000, 1.531941, 24.416439, 0.019676
1901.000000, 1.531941, 29.227971, 0.023554
1901.000000, 1.531941, -92.598389, -0.074621
1898.000000, 1.529524, 73.748200, 0.059431
1856.000000, 1.495678, 72.621511, 0.058523
1856.000000, 1.495678, 65.891432, 0.053099
1856.000000, 1.495678, 24.478098, 0.019726
1856.000000, 1.495678, -105.863154, -0.085311
1856.000000, 1.495678, 19.377854, 0.015616
1856.000000, 1.495678, 16.119136, 0.012990
1856.000000, 1.495678, 12.514085, 0.010085
1856.000000, 1.495678, -112.359113, -0.090546
1856.000000, 1.495678, 4.619990, 0.003723
1856.000000, 1.495678, 0.563227, 0.000454
1856.000000, 1.495678, -3.412009, -0.002750
1856.000000, 1.495678, -7.197421, -0.005800
1898.000000, 1.529524, -10.441872, -0.008415
1901.000000, 1.531941, -12.994459, -0.010472
1901.000000, 1.531941, -16.069479, -0.012950
1901.000000, 1.531941, 21.729408, 0.017511
1898.000000, 1.529524, 20.030181, 0.016142
1856.000000, 1.495678, 20.755055, 0.016726
1735.000000, 1.398168, 17.216090, 0.013874
1896.000000, 1.527912, 19.397782, 0.015632
1896.000000, 1.527912, 21.753416, 0.017530
1856.000000, 1.495678, -18.579946, -0.014973
1856.000000, 1.495678, -16.970586, -0.013676
1856.000000, 1.495678, -14.621835, -0.011783
1856.000000, 1.495678, -12.183194, -0.009818
1856.000000, 1.495678, -9.564486, -0.007708
1856.000000, 1.495678, -6.940890, -0.005593
1856.000000, 1.495678, 35.610363, 0.028697
1856.000000, 1.495678, 39.980392, 0.032219
1856.000000, 1.495678, 0.086529, 0.000070
1856.000000, 1.495678, 1.850525, 0.001491
1896.000000, 1.527912, 3.446529, 0.002777
1856.000000, 1.495678, 4.646177, 0.003744
1896.000000, 1.527912, 4.383016, 0.003532
1896.000000, 1.527912, 5.295724, 0.004268
1898.000000, 1.529524, -116.652636, -0.094006
1896.000000, 1.527912, 3.568601, 0.002876
1896.000000, 1.527912, -61.749397, -0.049761
1856.000000, 1.495678, 0.616877, 0.000497
1856.000000, 1.495678, -1.473936, -0.001188
1735.000000, 1.398168, 36.683826, 0.029562
1856.000000, 1.495678, 39.363267, 0.031721
1728.000000, 1.392527, 40.258148, 0.032442
1856.000000, 1.495678, 37.057992, 0.029864
1856.000000, 1.495678, 36.513467, 0.029425
1856.000000, 1.495678, 34.440240, 0.027754
1856.000000, 1.495678, -7.574614, -0.006104
1856.000000, 1.495678, -128.790862, -0.103788
1896.000000, 1.527912, -7.200070, -0.005802
1856.000000, 1.495678, 33.716783, 0.027171
1792.000000, 1.444103, -6.622157, -0.005337
1856.000000, 1.495678, -5.417755, -0.004366
1856.000000, 1.495678, -2.525246, -0.002035
1856.000000, 1.495678, -1.528170, -0.001231
1735.000000, 1.398168, -0.485757, -0.000391
1901.000000, 1.531941, 0.404338, 0.000326
1901.000000, 1.531941, 5.276337, 0.004252
1901.000000, 1.531941, 4.720932, 0.003804
1901.000000, 1.531941, 5.786741, 0.004663
1901.000000, 1.531941, 5.940292, 0.004787
1901.000000, 1.531941, 5.995885, 0.004832
1901.000000, 1.531941, 5.627362, 0.004535
1896.000000, 1.527912, 4.921703, 0.003966
1856.000000, 1.495678, 3.555039, 0.002865
1728.000000, 1.392527, 1.154024, 0.000930
1792.000000, 1.444103, -1.502994, -0.001211
1856.000000, 1.495678, 0.325034, 0.000262
1856.000000, 1.495678, -83.586383, -0.067359
1898.000000, 1.529524, -2.184386, -0.001760
1901.000000, 1.531941, -3.236215, -0.002608
1901.000000, 1.531941, -5.247022, -0.004228
1898.000000, 1.529524, -6.670639, -0.005376
1898.000000, 1.529524, -8.002299, -0.006449
1896.000000, 1.527912, 31.153897, 0.025106
1728.000000, 1.392527, 31.827335, 0.025648
1856.000000, 1.495678, 31.095961, 0.025059
1856.000000, 1.495678, 36.080934, 0.029076
1856.000000, 1.495678, 33.944380, 0.027354
1856.000000, 1.495678, 32.388337, 0.026100
1896.000000, 1.527912, 29.692562, 0.023928
1901.000000, 1.531941, -9.843555, -0.007933
1901.000000, 1.531941, -130.005710, -0.104767
1896.000000, 1.527912, -8.256328, -0.006653
1856.000000, 1.495678, -7.587692, -0.006115
1856.000000, 1.495678, -128.565725, -0.103606
1856.000000, 1.495678, 39.894978, 0.032150
1856.000000, 1.495678, 37.403363, 0.030142
1856.000000, 1.495678, 39.705616, 0.031997
1856.000000, 1.495678, 38.532713, 0.031052
1856.000000, 1.495678, -2.989583, -0.002409
1856.000000, 1.495678, -2.068871, -0.001667
1856.000000, 1.495678, -5.412886, -0.004362
1856.000000, 1.495678, -4.554446, -0.003670
1856.000000, 1.495678, -4.432591, -0.003572
1856.000000, 1.495678, -3.701823, -0.002983
1856.000000, 1.495678, -7.155996, -0.005767
1856.000000, 1.495678, -6.945921, -0.005597
1856.000000, 1.495678, -6.894212, -0.005556
1856.000000, 1.495678, -7.554215, -0.006088
1856.000000, 1.495678, -8.210717, -0.006617
1856.000000, 1.495678, -8.907343, -0.007178
1856.000000, 1.495678, 32.518828, 0.026206
1896.000000, 1.527912, 34.819652, 0.028060
1901.000000, 1.531941, 35.436888, 0.028557
1896.000000, 1.527912, 34.848205, 0.028083
1856.000000, 1.495678, 31.148665, 0.025101
1735.000000, 1.398168, -12.414673, -0.010004
1856.000000, 1.495678, -134.107703, -0.108072
1856.000000, 1.495678, 29.933128, 0.024122
1856.000000, 1.495678, 28.054520, 0.022608
1856.000000, 1.495678, -12.106789, -0.009756
1856.000000, 1.495678, -12.449376, -0.010032
1856.000000, 1.495678, -12.577469, -0.010136
1856.000000, 1.495678, -12.560315, -0.010122
1856.000000, 1.495678, -12.705624, -0.010239
1856.000000, 1.495678, -11.855366, -0.009554
1856.000000, 1.495678, -10.639637, -0.008574
1856.000000, 1.495678, -10.498420, -0.008460
1856.000000, 1.495678, -9.870456, -0.007954
1856.000000, 1.495678, -8.859471, -0.007140
1856.000000, 1.495678, 32.542464, 0.026225
1856.000000, 1.495678, -6.379667, -0.005141
1856.000000, 1.495678, 36.407217, 0.029339
1856.000000, 1.495678, 34.964368, 0.028176
1856.000000, 1.495678, 40.130060, 0.032339
1856.000000, 1.495678, 39.017145, 0.031442
1856.000000, 1.495678, 41.304107, 0.033285
1856.000000, 1.495678, 3.132105, 0.002524
1856.000000, 1.495678, 5.442881, 0.004386
1856.000000, 1.495678, -113.517189, -0.091479
1856.000000, 1.495678, 9.080076, 0.007317
1856.000000, 1.495678, -117.551637, -0.094730
1856.000000, 1.495678, 11.524520, 0.009287
1856.000000, 1.495678, 12.226144, 0.009853
1856.000000, 1.495678, 12.968243, 0.010451
1856.000000, 1.495678, 9.682217, 0.007803
1856.000000, 1.495678, 9.533040, 0.007682
1856.000000, 1.495678, 50.277808, 0.040517
1856.000000, 1.495678, 8.790094, 0.007084
1856.000000, 1.495678, -56.933565, -0.045881
1856.000000, 1.495678, 5.341883, 0.004305
1856.000000, 1.495678, 3.444572, 0.002776
1856.000000, 1.495678, 1.438001, 0.001159
1856.000000, 1.495678, -121.617083, -0.098006
1856.000000, 1.495678, 42.339095, 0.034119
1856.000000, 1.495678, 40.378218, 0.032539
1898.000000, 1.529524, 38.790839, 0.031260
1856.000000, 1.495678, 37.422490, 0.030157
1856.000000, 1.495678, 34.985308, 0.028193
1856.000000, 1.495678, 34.222412, 0.027579
1856.000000, 1.495678, 33.239878, 0.026787
1856.000000, 1.495678, 27.659929, 0.022290
1856.000000, 1.495678, -12.592366, -0.010148
1896.000000, 1.527912, -140.681428, -0.113370
1856.000000, 1.495678, -75.535312, -0.060871
1856.000000, 1.495678, -14.251364, -0.011485
1856.000000, 1.495678, -12.914512, -0.010407
1896.000000, 1.527912, 30.197394, 0.024335
1898.000000, 1.529524, 34.277664, 0.027623
1856.000000, 1.495678, 34.220686, 0.027577
1856.000000, 1.495678, 30.862480, 0.024871
1856.000000, 1.495678, 32.315934, 0.026042
1856.000000, 1.495678, 31.228436, 0.025166
1856.000000, 1.495678, -136.092858, -0.109672
1856.000000, 1.495678, -7.566669, -0.006098
1856.000000, 1.495678, -7.133882, -0.005749
1856.000000, 1.495678, -6.712136, -0.005409
1856.000000, 1.495678, -6.518281, -0.005253
1856.000000, 1.495678, 33.976615, 0.027380
1856.000000, 1.495678, 35.796579, 0.028847
1792.000000, 1.444103, 35.645671, 0.028725
1856.000000, 1.495678, 31.880184, 0.025691
1896.000000, 1.527912, -9.858925, -0.007945
1896.000000, 1.527912, -8.617644, -0.006945
1898.000000, 1.529524, -7.844270, -0.006321
1898.000000, 1.529524, -7.841769, -0.006319
1856.000000, 1.495678, -7.682975, -0.006191
1735.000000, 1.398168, -9.310491, -0.007503
1896.000000, 1.527912, -9.385223, -0.007563
1856.000000, 1.495678, -5.721773, -0.004611
1856.000000, 1.495678, -7.182797, -0.005788
1856.000000, 1.495678, -5.807629, -0.004680
1856.000000, 1.495678, -5.322194, -0.004289
1856.000000, 1.495678, -4.456582, -0.003591
1856.000000, 1.495678, -3.695263, -0.002978
1856.000000, 1.495678, -2.885838, -0.002326
1728.000000, 1.392527, -2.895314, -0.002333
1856.000000, 1.495678, -2.954394, -0.002381
1898.000000, 1.529524, 0.727881, 0.000587
1898.000000, 1.529524, 1.278899, 0.001031
1856.000000, 1.495678, 1.844335, 0.001486
1856.000000, 1.495678, 41.672605, 0.033582
1856.000000, 1.495678, 47.618013, 0.038373
1856.000000, 1.495678, 42.870967, 0.034548
1856.000000, 1.495678, 3.706520, 0.002987
1735.000000, 1.398168, -121.417010, -0.097845
1898.000000, 1.529524, 0.356309, 0.000287
1898.000000, 1.529524, 5.066171, 0.004083
1898.000000, 1.529524, 2.715272, 0.002188
1901.000000, 1.531941, 2.454708, 0.001978
1898.000000, 1.529524, 1.812812, 0.001461
1896.000000, 1.527912, 1.307761, 0.001054
1728.000000, 1.392527, -0.111490, -0.000090
1856.000000, 1.495678, -1.851942, -0.001492
1856.000000, 1.495678, 1.366470, 0.001101
1735.000000, 1.398168, -0.846765, -0.000682
1898.000000, 1.529524, -1.101093, -0.000887
1898.000000, 1.529524, 1.597227, 0.001287
1856.000000, 1.495678, 0.640985, 0.000517
1856.000000, 1.495678, -0.366727, -0.000296
1856.000000, 1.495678, 0.172946, 0.000139
1856.000000, 1.495678, 0.535017, 0.000431
1856.000000, 1.495678, 0.925663, 0.000746
1856.000000, 1.495678, 1.112353, 0.000896
1856.000000, 1.495678, 1.926153, 0.001552
1856.000000, 1.495678, 1.249869, 0.001007
1856.000000, 1.495678, 2.480544, 0.001999
1856.000000, 1.495678, -0.684739, -0.000552
1856.000000, 1.495678, 1.395352, 0.001124
1856.000000, 1.495678, -1.002293, -0.000808
1856.000000, 1.495678, -0.177747, -0.000143
1856.000000, 1.495678, 0.503558, 0.000406
1856.000000, 1.495678, 0.369597, 0.000298
1856.000000, 1.495678, 0.316051, 0.000255
1856.000000, 1.495678, -0.167436, -0.000135
1856.000000, 1.495678, 0.383848, 0.000309
1856.000000, 1.495678, 0.435169, 0.000351
1856.000000, 1.495678, -1.770628, -0.001427
1856.000000, 1.495678, -1.642100, -0.001323
1856.000000, 1.495678, -2.174315, -0.001752
