value, threshold
16.797200, 310.227273
-5.202800, 310.227273
-2.202800, 310.227273
-47.202800, 310.227273
23.797200, 310.227273
80.797200, 310.227273
-47.202800, 310.227273
-2.202800, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
19.797200, 310.227273
19.797200, 310.227273
16.797200, 310.227273
19.797200, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-47.202800, 310.227273
16.797200, 310.227273
16.797200, 310.227273
19.797200, 310.227273
23.797200, 310.227273
23.797200, 310.227273
144.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-47.202800, 310.227273
-47.202800, 310.227273
-2.202800, 310.227273
186.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-2.202800, 310.227273
23.797200, 310.227273
23.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-5.202800, 310.227273
16.797200, 310.227273
144.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-2.202800, 310.227273
186.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-5.202800, 310.227273
-5.202800, 310.227273
-2.202800, 310.227273
186.797200, 310.227273
186.797200, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
23.797200, 310.227273
61.797200, 310.227273
-47.202800, 310.227273
144.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-47.202800, 310.227273
-47.202800, 310.227273
-47.202800, 310.227273
189.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-2.202800, 310.227273
23.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
19.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-2.202800, 310.227273
-2.202800, 310.227273
-2.202800, 310.227273
189.797200, 310.227273
-144.202800, 310.227273
-144.202800, 310.227273
-144.202800, 310.227273
189.797200, 310.227273
144.797200, 310.227273
144.797200, 310.227273
19.797200, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
16.797200, 310.227273
19.797200, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
-2.202800, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
19.797200, 310.227273
-2.202800, 310.227273
23.797200, 310.227273
23.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
144.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
16.797200, 310.227273
-2.202800, 310.227273
16.797200, 310.227273
16.797200, 310.227273
