value, threshold
-0.295347, 173.727273
-0.936340, 173.727273
-0.319086, 173.727273
-0.208646, 173.727273
0.016785, 173.727273
0.386711, 173.727273
1.019562, 173.727273
0.358972, 173.727273
0.038828, 173.727273
0.891197, 173.727273
0.367520, 173.727273
0.095030, 173.727273
-0.378209, 173.727273
0.270347, 173.727273
-0.796630, 173.727273
-0.088879, 173.727273
0.332402, 173.727273
-0.086934, 173.727273
-0.169209, 173.727273
-0.321475, 173.727273
-0.400995, 173.727273
-0.456530, 173.727273
-0.470678, 173.727273
-0.450414, 173.727273
-0.395907, 173.727273
-0.311443, 173.727273
-0.201011, 173.727273
-0.071275, 173.727273
0.070709, 173.727273
0.216889, 173.727273
0.359034, 173.727273
0.487723, 173.727273
0.594757, 173.727273
0.672297, 173.727273
0.713736, 173.727273
0.714305, 173.727273
0.432960, 173.727273
0.067165, 173.727273
0.954632, 173.727273
0.380176, 173.727273
0.278249, 173.727273
-0.012117, 173.727273
-0.248299, 173.727273
-0.498728, 173.727273
-0.722735, 173.727273
-0.916992, 173.727273
-1.065847, 173.727273
-1.159342, 173.727273
-1.188616, 173.727273
-1.147755, 173.727273
-1.034650, 173.727273
-0.850635, 173.727273
-0.601404, 173.727273
-0.297181, 173.727273
0.048639, 173.727273
0.418408, 173.727273
0.792543, 173.727273
1.148129, 173.727273
1.463818, 173.727273
1.715866, 173.727273
1.885319, 173.727273
1.953036, 173.727273
1.906970, 173.727273
1.738334, 173.727273
1.446080, 173.727273
1.035195, 173.727273
0.518055, 173.727273
-0.084530, 173.727273
-0.746884, 173.727273
-1.433993, 173.727273
-2.109280, 173.727273
-2.728202, 173.727273
-3.247620, 173.727273
-3.621145, 173.727273
-3.805724, 173.727273
-3.761239, 173.727273
-3.453112, 173.727273
-2.854132, 173.727273
-1.945580, 173.727273
-0.720232, 173.727273
0.818446, 173.727273
2.656965, 173.727273
4.768059, 173.727273
7.115276, 173.727273
9.650253, 173.727273
12.317753, 173.727273
15.053823, 173.727273
17.789297, 173.727273
20.455944, 173.727273
-29.038478, 173.727273
-26.717435, 173.727273
-24.664432, 173.727273
-22.932076, 173.727273
-21.565924, 173.727273
21.400762, 173.727273
21.949880, 173.727273
-19.924432, 173.727273
21.780696, 173.727273
21.088885, 173.727273
20.034861, 173.727273
-23.340123, 173.727273
17.017667, 173.727273
-26.828945, 173.727273
-28.815686, 173.727273
11.123032, 173.727273
9.057925, 173.727273
7.052788, 173.727273
5.165053, 173.727273
3.448303, 173.727273
1.945192, 173.727273
0.688411, 173.727273
-0.300415, 173.727273
-1.011950, 173.727273
-1.446697, 173.727273
-1.618058, 173.727273
-1.549144, 173.727273
-1.268401, 173.727273
-0.813079, 173.727273
-0.224943, 173.727273
0.451408, 173.727273
1.170956, 173.727273
1.890620, 173.727273
2.571065, 173.727273
3.174613, 173.727273
3.674460, 173.727273
-37.952341, 173.727273
4.278348, 173.727273
4.362132, 173.727273
4.298333, 173.727273
4.095818, 173.727273
3.767760, 173.727273
3.336257, 173.727273
2.822036, 173.727273
2.252997, 173.727273
1.656423, 173.727273
1.059013, 173.727273
0.486539, 173.727273
-0.039366, 173.727273
-0.498640, 173.727273
-0.876382, 173.727273
-1.163055, 173.727273
-1.353973, 173.727273
-1.448323, 173.727273
-1.451945, 173.727273
-1.371895, 173.727273
-1.221686, 173.727273
-1.014978, 173.727273
-0.768388, 173.727273
-0.498800, 173.727273
-0.222759, 173.727273
