value, threshold
0.017512, 173.727273
0.055519, 173.727273
0.018920, 173.727273
-0.004660, 173.727273
-0.037959, 173.727273
0.026804, 173.727273
-0.009262, 173.727273
-0.007148, 173.727273
-0.015416, 173.727273
-0.017446, 173.727273
-0.047595, 173.727273
-0.335912, 173.727273
-0.512300, 173.727273
0.513363, 173.727273
0.070178, 173.727273
0.238125, 173.727273
0.131614, 173.727273
0.126334, 173.727273
0.073083, 173.727273
0.030451, 173.727273
0.077307, 173.727273
0.024426, 173.727273
0.007579, 173.727273
-0.020390, 173.727273
-0.042591, 173.727273
-0.064273, 173.727273
-0.082380, 173.727273
-0.096874, 173.727273
-0.106638, 173.727273
-0.111107, 173.727273
-0.109270, 173.727273
-0.101356, 173.727273
-0.087146, 173.727273
-0.067012, 173.727273
-0.041594, 173.727273
-0.012031, 173.727273
0.020227, 173.727273
0.053363, 173.727273
0.085771, 173.727273
0.115257, 173.727273
0.140025, 173.727273
0.158202, 173.727273
0.168205, 173.727273
0.168948, 173.727273
0.154123, 173.727273
0.099736, 173.727273
0.033401, 173.727273
0.056684, 173.727273
0.066681, 173.727273
0.050327, 173.727273
-0.028793, 173.727273
-0.084565, 173.727273
-0.143059, 173.727273
-0.191675, 173.727273
-0.230846, 173.727273
-0.257378, 173.727273
-0.274859, 173.727273
-0.306042, 173.727273
-0.322779, 173.727273
-0.208120, 173.727273
-0.081488, 173.727273
-0.055656, 173.727273
0.021954, 173.727273
0.093211, 173.727273
0.172698, 173.727273
0.248862, 173.727273
0.319187, 173.727273
0.377811, 173.727273
0.420322, 173.727273
0.414647, 173.727273
0.380472, 173.727273
0.475591, 173.727273
0.374010, 173.727273
0.306573, 173.727273
0.194201, 173.727273
0.068037, 173.727273
-0.077607, 173.727273
-0.234355, 173.727273
-0.396624, 173.727273
-0.557833, 173.727273
-0.710283, 173.727273
-0.847066, 173.727273
-0.961438, 173.727273
-1.046685, 173.727273
-1.098301, 173.727273
-1.111995, 173.727273
-1.085651, 173.727273
-1.019137, 173.727273
-0.912618, 173.727273
2.314199, 173.727273
2.486986, 173.727273
2.684364, 173.727273
-0.101745, 173.727273
3.119863, 173.727273
3.338620, 173.727273
3.543917, 173.727273
3.726624, 173.727273
3.876584, 173.727273
3.984354, 173.727273
-0.956037, 173.727273
-40.950707, 173.727273
3.995821, 173.727273
0.882970, 173.727273
3.711479, 173.727273
3.482811, 173.727273
3.203093, 173.727273
2.879558, 173.727273
-0.480203, 173.727273
2.134370, 173.727273
1.734890, 173.727273
1.332471, 173.727273
0.938619, 173.727273
0.535530, 173.727273
-0.097895, 173.727273
-0.580807, 173.727273
0.200357, 173.727273
-0.432571, 173.727273
-0.491249, 173.727273
-0.665218, 173.727273
-0.715928, 173.727273
-0.730362, 173.727273
-0.684193, 173.727273
-0.593694, 173.727273
-0.463001, 173.727273
-0.300711, 173.727273
-0.115453, 173.727273
0.084654, 173.727273
0.291501, 173.727273
0.497166, 173.727273
0.695442, 173.727273
0.879297, 173.727273
1.045083, 173.727273
1.188275, 173.727273
0.306630, 173.727273
-3.601549, 173.727273
-3.536567, 173.727273
-1.497716, 173.727273
1.515874, 173.727273
1.506623, 173.727273
1.476296, 173.727273
1.428409, 173.727273
1.365147, 173.727273
1.290091, 173.727273
1.205660, 173.727273
1.109543, 173.727273
-0.019836, 173.727273
-4.379359, 173.727273
-4.917036, 173.727273
0.706320, 173.727273
1.245878, 173.727273
0.938686, 173.727273
0.833565, 173.727273
0.681778, 173.727273
0.567895, 173.727273
0.461702, 173.727273
0.372640, 173.727273
0.297150, 173.727273
0.235989, 173.727273
-4.838998, 173.727273
-0.160277, 173.727273
-0.356320, 173.727273
0.679180, 173.727273
0.261266, 173.727273
0.373050, 173.727273
0.322116, 173.727273
0.343751, 173.727273
0.351315, 173.727273
0.368768, 173.727273
0.381899, 173.727273
0.389439, 173.727273
0.385673, 173.727273
0.367510, 173.727273
0.330840, 173.727273
0.275433, 173.727273
0.194992, 173.727273
0.103900, 173.727273
-0.035315, 173.727273
-0.108459, 173.727273
-0.221675, 173.727273
-0.318103, 173.727273
-0.509581, 173.727273
-0.592953, 173.727273
-0.673043, 173.727273
-0.733339, 173.727273
-0.672886, 173.727273
-0.617498, 173.727273
-0.593973, 173.727273
-0.150525, 173.727273
-1.025856, 173.727273
-0.423552, 173.727273
0.064868, 173.727273
0.441159, 173.727273
0.862860, 173.727273
1.289208, 173.727273
1.772531, 173.727273
2.160917, 173.727273
2.632646, 173.727273
3.075500, 173.727273
3.460522, 173.727273
3.788674, 173.727273
4.045399, 173.727273
-0.780024, 173.727273
-40.696812, 173.727273
4.287260, 173.727273
4.171482, 173.727273
3.956304, 173.727273
3.646216, 173.727273
3.250378, 173.727273
2.782018, 173.727273
2.255399, 173.727273
1.689831, 173.727273
1.106303, 173.727273
0.526409, 173.727273
-0.027391, 173.727273
-0.533186, 173.727273
-0.969600, 173.727273
-1.316510, 173.727273
-1.558049, 173.727273
-1.681167, 173.727273
-1.674168, 173.727273
-1.537771, 173.727273
-1.257335, 173.727273
-0.940097, 173.727273
-0.482986, 173.727273
0.123775, 173.727273
0.879581, 173.727273
1.675684, 173.727273
2.504066, 173.727273
3.359364, 173.727273
4.217258, 173.727273
5.051929, 173.727273
5.842831, 173.727273
6.565571, 173.727273
6.207915, 173.727273
2.668355, 173.727273
-37.001701, 173.727273
-36.651301, 173.727273
3.537309, 173.727273
8.569288, 173.727273
8.475990, 173.727273
8.263978, 173.727273
7.945854, 173.727273
7.530551, 173.727273
7.041563, 173.727273
6.470785, 173.727273
5.914823, 173.727273
5.161511, 173.727273
-0.447663, 173.727273
-41.055391, 173.727273
3.329382, 173.727273
2.749355, 173.727273
2.214635, 173.727273
1.732782, 173.727273
1.310146, 173.727273
0.950679, 173.727273
0.654007, 173.727273
0.419167, 173.727273
0.243423, 173.727273
0.121230, 173.727273
0.046298, 173.727273
0.010910, 173.727273
0.007504, 173.727273
0.029311, 173.727273
0.067414, 173.727273
0.115538, 173.727273
0.166860, 173.727273
0.215939, 173.727273
0.258955, 173.727273
0.291966, 173.727273
0.313212, 173.727273
0.321649, 173.727273
-2.683024, 173.727273
0.300395, 173.727273
0.272846, 173.727273
0.237144, 173.727273
0.195384, 173.727273
0.150016, 173.727273
0.104584, 173.727273
0.060674, 173.727273
0.021725, 173.727273
-0.010855, 173.727273
-0.034485, 173.727273
-0.048358, 173.727273
-0.050549, 173.727273
-0.042552, 173.727273
-0.017077, 173.727273
0.005804, 173.727273
0.084370, 173.727273
0.049403, 173.727273
0.388039, 173.727273
-0.641918, 173.727273
-0.287811, 173.727273
-0.005232, 173.727273
0.020028, 173.727273
0.042676, 173.727273
0.061012, 173.727273
0.074630, 173.727273
0.082881, 173.727273
0.085918, 173.727273
0.055383, 173.727273
0.015398, 173.727273
0.125300, 173.727273
0.062512, 173.727273
0.057166, 173.727273
0.030559, 173.727273
0.010906, 173.727273
-0.010546, 173.727273
-0.029437, 173.727273
-0.046216, 173.727273
-0.076967, 173.727273
-0.135347, 173.727273
-0.101705, 173.727273
-0.010656, 173.727273
-0.048009, 173.727273
-0.031164, 173.727273
-0.022725, 173.727273
0.000700, 173.727273
0.030479, 173.727273
0.076002, 173.727273
0.121610, 173.727273
0.215445, 173.727273
0.226500, 173.727273
0.469905, 173.727273
-0.136810, 173.727273
-0.828878, 173.727273
-0.371508, 173.727273
-0.056109, 173.727273
0.001031, 173.727273
0.031053, 173.727273
0.062796, 173.727273
0.093734, 173.727273
0.131280, 173.727273
0.155572, 173.727273
0.226220, 173.727273
0.175000, 173.727273
0.491097, 173.727273
-0.566298, 173.727273
-0.241913, 173.727273
0.009927, 173.727273
0.005784, 173.727273
0.001321, 173.727273
-0.003304, 173.727273
-0.007831, 173.727273
-0.012058, 173.727273
-0.015730, 173.727273
-0.018685, 173.727273
-0.020658, 173.727273
-0.021540, 173.727273
-0.021149, 173.727273
-0.019444, 173.727273
-0.016341, 173.727273
-0.011934, 173.727273
-0.006198, 173.727273
0.000450, 173.727273
0.008521, 173.727273
0.015756, 173.727273
0.027576, 173.727273
0.027134, 173.727273
0.061802, 173.727273
-0.006307, 173.727273
0.016533, 173.727273
0.034746, 173.727273
0.033839, 173.727273
0.030778, 173.727273
0.025501, 173.727273
0.018110, 173.727273
0.008895, 173.727273
-0.001799, 173.727273
-0.013378, 173.727273
-0.025202, 173.727273
-0.036470, 173.727273
-0.046313, 173.727273
-0.053829, 173.727273
-0.058101, 173.727273
-0.058168, 173.727273
-0.053298, 173.727273
-0.042624, 173.727273
-0.025656, 173.727273
-0.002091, 173.727273
0.028356, 173.727273
0.065573, 173.727273
0.109299, 173.727273
0.158893, 173.727273
0.213397, 173.727273
0.271916, 173.727273
0.333099, 173.727273
0.395394, 173.727273
0.457475, 173.727273
-4.482455, 173.727273
0.573842, 173.727273
0.624960, 173.727273
0.669457, 173.727273
0.705831, 173.727273
0.732971, 173.727273
0.750068, 173.727273
0.756522, 173.727273
0.752020, 173.727273
0.736682, 173.727273
-2.288997, 173.727273
-4.324415, 173.727273
0.631293, 173.727273
0.579553, 173.727273
0.521845, 173.727273
0.459542, 173.727273
0.394552, 173.727273
0.328563, 173.727273
0.263144, 173.727273
0.200099, 173.727273
0.140879, 173.727273
0.086748, 173.727273
0.038740, 173.727273
-0.002451, 173.727273
-0.036126, 173.727273
-0.062088, 173.727273
-0.080435, 173.727273
-0.091387, 173.727273
-0.095571, 173.727273
-0.093628, 173.727273
-0.086538, 173.727273
-0.075233, 173.727273
-0.077924, 173.727273
-0.109890, 173.727273
-0.081716, 173.727273
-0.006093, 173.727273
0.088886, 173.727273
0.060172, 173.727273
0.073287, 173.727273
0.069660, 173.727273
0.068950, 173.727273
0.063867, 173.727273
0.056948, 173.727273
0.047421, 173.727273
0.036118, 173.727273
0.023386, 173.727273
0.010018, 173.727273
-0.003321, 173.727273
-0.015841, 173.727273
-0.026837, 173.727273
-0.035678, 173.727273
-0.041842, 173.727273
-0.044977, 173.727273
-0.044905, 173.727273
-0.041691, 173.727273
-0.035508, 173.727273
-0.026753, 173.727273
-0.015966, 173.727273
-0.003863, 173.727273
0.008803, 173.727273
0.021183, 173.727273
0.015479, 173.727273
0.005033, 173.727273
0.084576, 173.727273
0.059323, 173.727273
0.066552, 173.727273
0.058228, 173.727273
0.050972, 173.727273
0.039240, 173.727273
0.025513, 173.727273
0.009724, 173.727273
-0.007081, 173.727273
-0.023983, 173.727273
-0.039995, 173.727273
-0.054097, 173.727273
-0.065322, 173.727273
-0.072840, 173.727273
-0.075957, 173.727273
-0.074208, 173.727273
-0.067346, 173.727273
-0.055487, 173.727273
-0.038850, 173.727273
-0.018455, 173.727273
0.006079, 173.727273
0.030276, 173.727273
0.062567, 173.727273
0.073964, 173.727273
0.142895, 173.727273
0.038577, 173.727273
0.083606, 173.727273
0.118000, 173.727273
0.117560, 173.727273
0.110295, 173.727273
0.096578, 173.727273
0.076187, 173.727273
0.052460, 173.727273
0.014226, 173.727273
-0.028931, 173.727273
-0.086936, 173.727273
-0.162180, 173.727273
-0.172401, 173.727273
-0.166751, 173.727273
-0.191962, 173.727273
-0.203047, 173.727273
-0.203431, 173.727273
-0.190107, 173.727273
-0.162828, 173.727273
-0.121162, 173.727273
-0.065390, 173.727273
0.003639, 173.727273
0.084551, 173.727273
0.175351, 173.727273
0.273549, 173.727273
0.376302, 173.727273
0.480598, 173.727273
0.583092, 173.727273
0.680392, 173.727273
0.769114, 173.727273
0.846239, 173.727273
0.909106, 173.727273
0.955355, 173.727273
-2.016599, 173.727273
-4.007822, 173.727273
-4.018685, 173.727273
0.951154, 173.727273
0.902828, 173.727273
0.837992, 173.727273
0.758923, 173.727273
0.668566, 173.727273
0.570052, 173.727273
0.466866, 173.727273
0.362689, 173.727273
0.261114, 173.727273
0.165478, 173.727273
0.078777, 173.727273
0.003704, 173.727273
-0.057547, 173.727273
-0.103504, 173.727273
-0.161692, 173.727273
-1.150863, 173.727273
-2.386110, 173.727273
1.042518, 173.727273
0.227180, 173.727273
1.242337, 173.727273
0.771588, 173.727273
0.739630, 173.727273
0.583895, 173.727273
0.489922, 173.727273
0.385232, 173.727273
0.289223, 173.727273
-2.807857, 173.727273
0.096146, 173.727273
0.002170, 173.727273
-0.087539, 173.727273
-0.196898, 173.727273
-0.553809, 173.727273
-1.038147, 173.727273
-0.327388, 173.727273
0.329305, 173.727273
0.008716, 173.727273
0.092117, 173.727273
0.067931, 173.727273
0.089274, 173.727273
0.112382, 173.727273
0.186603, 173.727273
-0.010545, 173.727273
-1.096257, 173.727273
-1.325021, 173.727273
2.012828, 173.727273
