filtered_data, frequency, frequency_magnitude, threshold
426.536735, 0.000000, 138.966445, 173.727273
213.426803, 488.281250, 518.414502, 173.727273
-74.448988, 976.562500, 138.634541, 173.727273
-341.854338, 1464.843750, 521.383151, 173.727273
-380.361795, 1953.125000, 137.071740, 173.727273
-331.855041, 2441.406250, 518.856223, 173.727273
-278.353962, 2929.687500, 136.466648, 173.727273
-211.144979, 3417.968750, 509.671790, 173.727273
-136.821410, 3906.250000, 126.002189, 173.727273
7.368352, 4394.531250, 504.332616, 173.727273
91.981138, 4882.812500, 107.749253, 173.727273
143.323089, 5371.093750, 524.602446, 173.727273
333.961531, 5859.375000, 128.017509, 173.727273
554.449747, 6347.656250, 526.182186, 173.727273
529.108697, 6835.937500, 117.553836, 173.727273
328.633223, 7324.218750, 546.821587, 173.727273
54.460936, 7812.500000, 84.717801, 173.727273
-145.325016, 8300.781250, 480.404616, 173.727273
-398.417826, 8789.062500, 72.396240, 173.727273
-473.898357, 9277.343750, 471.293753, 173.727273
-447.338146, 9765.625000, 59.701704, 173.727273
-329.053428, 10253.906250, 453.430218, 173.727273
-99.254813, 10742.187500, 30.127837, 173.727273
2.851807, 11230.468750, 418.015409, 173.727273
100.594189, 11718.750000, 2.099467, 173.727273
11.091779, 12207.031250, 403.504008, 173.727273
142.907837, 12695.312500, 40.891792, 173.727273
216.644899, 13183.593750, 338.420231, 173.727273
208.720900, 13671.875000, 137.761609, 173.727273
259.557485, 14160.156250, 226.784376, 173.727273
300.486344, 14648.437500, 188.676545, 173.727273
266.848217, 15136.718750, 24.992683, 173.727273
94.974335, 15625.000000, 1164.500579, 173.727273
-37.160113, 16113.281250, 214.008465, 173.727273
-281.319770, 16601.562500, 542.359696, 173.727273
-502.932491, 17089.843750, 2796.564054, 173.727273
-662.450131, 17578.125000, 8212.072522, 173.727273
-694.422877, 18066.406250, 1058.821856, 173.727273
-406.790202, 18554.687500, 1467.360939, 173.727273
-17.622322, 19042.968750, 4615.687351, 173.727273
406.746144, 19531.250000, 7318.474016, 173.727273
866.867198, 20019.531250, 20971.605652, 173.727273
1191.414320, 20507.812500, 24686.972693, 173.727273
1041.250291, 20996.093750, 4777.101354, 173.727273
659.828199, 21484.375000, 4776.044739, 173.727273
34.348491, 21972.656250, 8693.474804, 173.727273
-691.647338, 22460.937500, 5041.347924, 173.727273
-1330.272529, 22949.218750, 3152.299442, 173.727273
-1550.964872, 23437.500000, 6409.232900, 173.727273
-1204.946497, 23925.781250, 2294.783743, 173.727273
-473.471061, 24414.062500, 1982.038128, 173.727273
357.207406, 24902.343750, 17042.078885, 173.727273
1035.121783, 25390.625000, 15793.612186, 173.727273
1360.551461, 25878.906250, 19306.803749, 173.727273
1337.568256, 26367.187500, 276.141171, 173.727273
778.106432, 26855.468750, 5271.995810, 173.727273
95.075981, 27343.750000, 21633.037536, 173.727273
-524.901116, 27832.031250, 16820.207882, 173.727273
-952.392531, 28320.312500, 347.285718, 173.727273
